id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
232350023,2003,1,regular,2003-08-23T22:00:00.000Z,,false,false,31681,3935,Spartan Stadium,23,San José State,Western Athletic,29,7,3,3,16,,,,2755,Grambling,,0,0,0,0,0,,,,,,
232352306,2003,1,regular,2003-08-23T23:45:00.000Z,,false,false,50823,,,2306,Kansas State,Big 12,10,10,17,8,7,,1977,1973,25,California,Pac-10,7,7,7,0,14,,1568,1572,,,BCA CLASSIC AT KANSAS CITY MO
233500249,2003,1,postseason,2003-12-17T01:00:00.000Z,,false,false,0,3721,Fisher Field,249,North Texas,Sun Belt,17,3,0,7,7,,1512,1500,235,Memphis,Conference USA,27,7,10,0,10,,1615,1627,,,
233520097,2003,1,postseason,2003-12-19T01:30:00.000Z,,false,false,0,3908,Roy Kidd Stadium,97,Louisville,Conference USA,28,0,21,7,0,,1553,1544,193,Miami (OH),Mid-American,49,21,14,0,14,,1977,1986,,,
233562305,2003,1,postseason,2003-12-22T23:30:00.000Z,,false,false,0,3971,University Stadium,2305,Kansas,Big 12,26,7,3,10,6,,1352,1316,152,NC State,ACC,56,21,7,14,14,,1749,1785,,,
233570068,2003,1,postseason,2003-12-24T01:30:00.000Z,,false,false,0,3776,Joe Aillet Stadium,68,Boise State,Western Athletic,34,7,17,3,7,,1986,1983,2628,TCU,Conference USA,31,14,10,7,0,,1635,1638,,,
233580167,2003,1,postseason,2003-12-25T01:30:00.000Z,,false,true,0,,,167,New Mexico,Mountain West,14,7,0,0,7,,1713,1585,204,Oregon State,Pac-10,55,17,14,10,14,,1691,1819,,,
233590062,2003,1,postseason,2003-12-26T02:00:00.000Z,,false,false,0,,,62,Hawai'i,Western Athletic,54,3,10,14,7,,1545,1544,248,Houston,Conference USA,48,10,10,0,14,,1370,1371,,,
233600189,2003,1,postseason,2003-12-26T23:00:00.000Z,,false,false,0,3984,War Memorial Stadium,189,Bowling Green,Mid-American,28,0,7,7,14,,1649,1644,77,Northwestern,Big Ten,24,7,3,7,7,,1383,1388,,,
233600025,2003,1,postseason,2003-12-27T01:30:00.000Z,,false,false,42364,,,25,California,Pac-10,52,7,14,21,10,,1827,1828,259,Virginia Tech,Big East,49,21,7,0,21,,1840,1839,,,
233610258,2003,1,postseason,2003-12-27T17:00:00.000Z,,false,false,0,3646,Boone Pickens Stadium,258,Virginia,ACC,23,7,10,3,3,,1761,1767,221,Pittsburgh,Big East,16,0,13,3,0,,1701,1695,,,
233630158,2003,1,postseason,2003-12-30T03:00:00.000Z,,false,false,0,721,Bobby Dodd Stadium at Historic Grant Field,158,Nebraska,Big 12,17,3,14,0,0,,1733,1756,127,Michigan State,Big Ten,3,3,0,0,0,,1671,1648,,,
233642641,2003,1,postseason,2003-12-30T22:30:00.000Z,,false,false,0,3979,Wagner College Stadium,2641,Texas Tech,Big 12,38,0,14,10,14,,1738,1771,2426,Navy,FBS Independents,14,0,0,7,7,,1487,1454,,,
233640265,2003,1,postseason,2003-12-31T01:00:00.000Z,,false,false,61102,3932,Qualcomm Stadium,265,Washington State,Pac-10,28,0,7,19,2,,1792,1823,251,Texas,Big 12,20,0,10,0,10,,2069,2038,,,
233640278,2003,1,postseason,2003-12-31T04:30:00.000Z,,false,false,0,3685,Coughlin-Alumni Stadium,278,Fresno State,Western Athletic,17,14,3,0,0,,1445,1462,26,UCLA,Pac-10,9,0,7,2,0,,1529,1512,,,
233650002,2003,1,postseason,2003-12-31T18:00:00.000Z,,false,false,0,3741,Goodman Stadium,2,Auburn,SEC,28,0,7,7,14,,1821,1841,275,Wisconsin,Big Ten,14,0,6,0,8,,1725,1705,,,
233650135,2003,1,postseason,2003-12-31T19:00:00.000Z,,false,true,49894,3946,Sun Bowl Stadium,135,Minnesota,Big Ten,31,0,14,14,3,,1808,1801,2483,Oregon,Pac-10,30,0,17,7,6,,1563,1570,,,
233652572,2003,1,postseason,2003-12-31T20:30:00.000Z,,false,true,55989,3805,Liberty Bowl Memorial Stadium,2572,Southern Mississippi,Conference USA,0,0,0,0,0,,1643,1603,254,Utah,Mountain West,17,0,7,0,10,,1652,1692,,,
233650008,2003,1,postseason,2004-01-01T00:30:00.000Z,,false,false,49625,,,8,Arkansas,SEC,27,3,18,3,3,,1764,1789,142,Missouri,Big 12,14,7,0,7,0,,1761,1736,,,
233650036,2003,1,postseason,2004-01-01T03:30:00.000Z,,false,false,25621,,,36,Colorado State,Mountain West,21,0,7,7,7,,1677,1646,103,Boston College,Big East,35,21,0,0,14,,1684,1715,,,
240010057,2003,1,postseason,2004-01-01T17:00:00.000Z,,false,false,0,3925,Seibert Stadium,57,Florida,SEC,17,7,0,3,7,,1804,1762,2294,Iowa,Big Ten,37,7,13,14,3,,1879,1921,,,OUTBACK BOWL
240010277,2003,1,postseason,2004-01-01T17:30:00.000Z,,false,false,78892,,,277,West Virginia,Big East,7,0,0,7,0,,1782,1685,120,Maryland,ACC,41,10,14,10,7,,1795,1892,,,TOYOTA GATOR BOWL
240012509,2003,1,postseason,2004-01-01T18:00:00.000Z,,false,false,64565,,,2509,Purdue,Big Ten,27,0,10,0,17,,1767,1766,61,Georgia,SEC,34,14,10,0,3,,1929,1930,,,CAPITAL ONE BOWL
240010030,2003,1,postseason,2004-01-01T22:00:00.000Z,,false,true,93849,1056,Rose Bowl,30,USC,Pac-10,28,7,7,14,0,,2117,2138,130,Michigan,Big Ten,14,0,0,7,7,,2033,2012,,,ROSE BOWL PRESENTED BY CITI
240010052,2003,1,postseason,2004-01-02T02:30:00.000Z,,false,false,0,3607,Alfond Stadium,52,Florida State,ACC,14,0,14,0,0,,1939,1937,2390,Miami,Big East,16,3,10,3,0,,1944,1946,,,FEDEX ORANGE BOWL
240020197,2003,1,postseason,2004-01-02T19:00:00.000Z,,false,false,73928,,,145,Ole Miss,SEC,31,7,10,7,7,,1780,1779,197,Oklahoma State,Big 12,28,7,7,0,14,,1656,1657,,,SBC COTTON BOWL CLASSIC
240020228,2003,1,postseason,2004-01-02T21:30:00.000Z,,false,false,75125,3495,Georgia Dome,228,Clemson,ACC,27,10,14,0,3,,1789,1820,2633,Tennessee,SEC,14,7,7,0,0,,1855,1824,,,CHICK-FIL-A PEACH BOWL
240020194,2003,1,postseason,2004-01-03T01:00:00.000Z,,false,false,73425,3947,Sun Devil Stadium,194,Ohio State,Big Ten,35,14,7,14,0,,1819,1852,2306,Kansas State,Big 12,28,0,7,7,14,,2198,2165,,,TOSTITOS FIESTA BOWL
240030202,2003,1,postseason,2004-01-03T18:00:00.000Z,,false,false,0,3776,Joe Aillet Stadium,202,Tulsa,Western Athletic,10,0,3,0,7,,1450,1324,59,Georgia Tech,ACC,52,7,3,21,21,,1467,1593,,,HUMANITARIAN BOWL
240040099,2003,1,postseason,2004-01-05T01:00:00.000Z,,false,false,79342,3493,Mercedes-Benz Superdome,99,LSU,SEC,21,7,7,7,0,,2114,2133,201,Oklahoma,Big 12,14,0,7,0,7,,2266,2247,,,NOKIA SUGAR BOWL
232400189,2003,2,regular,2003-08-28T23:00:00.000Z,,false,false,15669,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,63,14,21,7,21,,,,2198,Eastern Kentucky,,13,7,0,0,6,,,,,,
232402199,2003,2,regular,2003-08-28T23:00:00.000Z,,false,false,11725,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,28,7,7,7,7,,,,2193,East Tennessee State,,21,0,14,7,0,,,,,,
232400195,2003,2,regular,2003-08-28T23:00:00.000Z,,false,false,10173,3876,Peden Stadium,195,Ohio,Mid-American,17,7,10,0,0,,,,2546,Southeast Missouri State,,3,0,3,0,0,,,,,,
232402348,2003,2,regular,2003-08-28T23:30:00.000Z,,false,false,43279,3776,Joe Aillet Stadium,2348,Louisiana Tech,Western Athletic,9,3,0,3,3,,1307,1270,2390,Miami,Big East,48,14,7,17,10,,1927,1964,,,
232402006,2003,2,regular,2003-08-28T23:30:00.000Z,,false,true,26814,,,2006,Akron,Mid-American,38,14,10,0,14,,1418,1393,2309,Kent State,Mid-American,41,17,7,0,17,,1114,1139,,,
232402459,2003,2,regular,2003-08-28T23:35:00.000Z,,false,false,28018,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,20,0,10,0,3,,1552,1573,120,Maryland,ACC,13,7,0,3,3,,1741,1720,,,
232402393,2003,2,regular,2003-08-29T00:00:00.000Z,,false,false,23261,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,19,0,9,0,10,,1445,1436,2226,Florida Atlantic,,20,0,7,0,13,,1291,1300,,,
232402050,2003,2,regular,2003-08-29T00:00:00.000Z,,false,false,23549,3919,Scheumann Stadium,2050,Ball State,Mid-American,31,6,9,6,10,,,,282,Indiana State,,7,0,0,7,0,,,,,,
232400254,2003,2,regular,2003-08-29T01:00:00.000Z,,false,false,39697,587,Rice-Eccles Stadium,254,Utah,Mountain West,40,7,7,7,19,,1532,1556,328,Utah State,Sun Belt,20,0,3,2,15,,1301,1277,,,
232400252,2003,2,regular,2003-08-29T01:30:00.000Z,,false,true,61930,3801,LaVell Edwards Stadium,252,BYU,Mountain West,24,7,0,14,3,,1447,1473,59,Georgia Tech,ACC,13,6,7,0,0,,1531,1505,,,
232400204,2003,2,regular,2003-08-29T02:00:00.000Z,,false,false,35614,3893,Reser Stadium,204,Oregon State,Pac-10,40,3,17,14,6,,,,16,Sacramento State,,7,0,0,0,7,,,,,,
232412439,2003,2,regular,2003-08-30T01:00:00.000Z,,false,false,21791,3914,Sam Boyd Stadium,2439,UNLV,Mountain West,28,7,7,0,14,,1439,1467,2649,Toledo,Mid-American,18,6,6,6,0,,1587,1559,,,
232420228,2003,2,regular,2003-08-30T16:00:00.000Z,,false,false,83000,3836,Memorial Stadium,228,Clemson,ACC,0,0,0,0,0,,1489,1447,61,Georgia,SEC,30,10,3,3,14,,1835,1877,,,
232420277,2003,2,regular,2003-08-30T16:00:00.000Z,,false,false,60663,3842,Mountaineer Field at Milan Puskar Stadium,277,West Virginia,Big East,17,10,0,7,0,,1605,1592,275,Wisconsin,Big Ten,24,7,0,3,14,,1611,1624,,,
232420041,2003,2,regular,2003-08-30T16:00:00.000Z,,false,false,38109,3892,Rentschler Field,41,Connecticut,FBS Independents,34,10,7,10,7,,1561,1595,84,Indiana,Big Ten,10,3,0,7,0,,1321,1287,,,
232420142,2003,2,regular,2003-08-30T16:00:00.000Z,,false,false,63576,,,142,Missouri,Big 12,22,7,7,0,8,,1540,1553,356,Illinois,Big Ten,15,3,3,3,6,,1607,1594,,,
232422294,2003,2,regular,2003-08-30T16:05:00.000Z,,false,false,54128,3793,Kinnick Stadium,2294,Iowa,Big Ten,21,7,7,0,7,,1804,1821,193,Miami (OH),Mid-American,3,3,0,0,0,,1557,1540,,,
232420130,2003,2,regular,2003-08-30T16:10:00.000Z,,false,false,110637,3558,Michigan Stadium,130,Michigan,Big Ten,45,10,7,21,7,,1733,1778,2117,Central Michigan,Mid-American,7,0,0,7,0,,1227,1182,,,
232420238,2003,2,regular,2003-08-30T16:30:00.000Z,,false,true,29411,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,21,0,7,7,7,,1325,1332,145,Ole Miss,SEC,24,0,6,8,10,,1520,1513,,,
232420103,2003,2,regular,2003-08-30T17:00:00.000Z,,false,false,42563,3615,Alumni Stadium,103,Boston College,Big East,28,7,7,7,7,,1714,1698,154,Wake Forest,ACC,32,0,6,6,20,,1580,1596,,,
232422426,2003,2,regular,2003-08-30T17:30:00.000Z,,false,false,30129,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,FBS Independents,37,7,21,0,9,,,,2678,VMI,,10,0,0,7,3,,,,,,
232422005,2003,2,regular,2003-08-30T18:00:00.000Z,,false,false,40111,3713,Falcon Stadium,2005,Air Force,Mountain West,49,0,14,28,7,,,,2747,Wofford,,0,0,0,0,0,,,,,,
232422633,2003,2,regular,2003-08-30T19:00:00.000Z,,false,false,103860,3853,Neyland Stadium,2633,Tennessee,SEC,24,7,7,7,3,,1657,1685,278,Fresno State,Western Athletic,6,0,0,0,6,,1527,1499,,,
232420213,2003,2,regular,2003-08-30T19:30:00.000Z,,false,false,101553,3632,Beaver Stadium,213,Penn State,Big Ten,23,0,7,6,10,,1822,1814,218,Temple,Big East,10,0,3,0,7,,1386,1394,,,
232420158,2003,2,regular,2003-08-30T19:30:00.000Z,,false,true,78058,3834,Memorial Stadium,158,Nebraska,Big 12,17,3,0,14,0,,1617,1632,197,Oklahoma State,Big 12,7,7,0,0,0,,1581,1566,,,
232420127,2003,2,regular,2003-08-30T19:40:00.000Z,,false,false,72923,3936,Spartan Stadium,127,Michigan State,Big Ten,26,7,16,3,0,,1424,1430,2711,Western Michigan,Mid-American,21,7,7,0,7,,1446,1440,,,
232420025,2003,2,regular,2003-08-30T20:00:00.000Z,,false,true,33552,3831,California Memorial Stadium,25,California,Pac-10,34,0,20,7,7,,1572,1652,2572,Southern Mississippi,Conference USA,2,2,0,0,0,,1513,1433,,,
232422751,2003,2,regular,2003-08-30T20:00:00.000Z,,false,false,17407,3984,War Memorial Stadium,2751,Wyoming,Mountain West,21,14,0,0,7,,,,147,Montana State,,10,0,3,7,0,,,,,,
232420276,2003,2,regular,2003-08-30T20:30:00.000Z,,false,false,25141,3775,Joan C. Edwards Stadium,276,Marshall,Mid-American,45,14,14,7,10,,,,2275,Hofstra,,21,7,7,7,0,,,,,,
232420152,2003,2,regular,2003-08-30T22:00:00.000Z,,false,false,53800,3670,Carter-Finley Stadium,152,NC State,ACC,59,14,28,14,3,,,,2717,Western Carolina,,20,0,14,6,0,,,,,,
232420002,2003,2,regular,2003-08-30T22:00:00.000Z,,false,false,86063,3785,Jordan-Hare Stadium,2,Auburn,SEC,0,0,0,0,0,,1668,1634,30,USC,Pac-10,23,10,0,6,7,,1900,1934,,,
232420057,2003,2,regular,2003-08-30T22:00:00.000Z,,false,false,90011,,,57,Florida,SEC,65,3,27,14,21,,1725,1860,23,San José State,Western Athletic,3,3,0,0,0,,1308,1173,,,
232422579,2003,2,regular,2003-08-30T23:00:00.000Z,,false,false,82227,3994,Williams-Brice Stadium,2579,South Carolina,SEC,14,7,0,7,0,,1526,1519,309,Louisiana,Sun Belt,7,0,7,0,0,,1205,1212,,,
