id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
262432117,2006,1,regular,2006-08-31T22:00:00.000Z,,false,false,25418,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,24,3,0,7,14,,1371,1380,103,Boston College,ACC,31,3,14,0,14,,1678,1669,,,
262430202,2006,1,regular,2006-08-31T23:00:00.000Z,,false,false,23308,,,202,Tulsa,Conference USA,45,14,17,7,7,,,,2617,Stephen F. Austin,,7,0,0,0,7,,,,,,
262432084,2006,1,regular,2006-08-31T23:00:00.000Z,,false,false,29795,3965,UB Stadium,2084,Buffalo,Mid-American,9,0,0,0,3,,1169,1173,218,Temple,FBS Independents,3,0,0,0,3,,1112,1108,,,
262432393,2006,1,regular,2006-08-31T23:00:00.000Z,,false,true,20058,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,7,0,7,0,0,,1415,1412,2229,Florida International,Sun Belt,6,6,0,0,0,,1307,1310,,,
262430041,2006,1,regular,2006-08-31T23:30:00.000Z,,false,false,36227,3892,Rentschler Field,41,Connecticut,Big East,52,10,21,7,14,,,,227,Rhode Island,,7,0,7,0,0,,,,,,
262432309,2006,1,regular,2006-08-31T23:30:00.000Z,,false,false,20126,3696,Dix Stadium,2309,Kent State,Mid-American,0,0,0,0,0,,1263,1181,135,Minnesota,Big Ten,44,14,3,21,6,,1637,1719,,,
262432050,2006,1,regular,2006-08-31T23:30:00.000Z,,false,true,12326,3919,Scheumann Stadium,2050,Ball State,Mid-American,38,0,17,14,7,,1257,1303,2199,Eastern Michigan,Mid-American,20,7,6,0,7,,1315,1269,,,
262430193,2006,1,regular,2006-08-31T23:30:00.000Z,,false,false,20476,3996,Yager Stadium,193,Miami (OH),Mid-American,3,0,0,3,0,,1576,1525,77,Northwestern,Big Ten,21,0,0,14,7,,1515,1566,,,
262432433,2006,1,regular,2006-09-01T00:00:00.000Z,,false,false,18106,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,24,7,3,0,14,,,,2016,Alcorn State,,6,3,0,3,0,,,,,,
262430344,2006,1,regular,2006-09-01T00:00:00.000Z,,false,true,50277,3693,Davis Wade Stadium,344,Mississippi State,SEC,0,0,0,0,0,,1369,1350,2579,South Carolina,SEC,15,0,3,3,9,,1535,1554,,,
262430066,2006,1,regular,2006-09-01T00:00:00.000Z,,false,false,42531,3772,Jack Trice Stadium,66,Iowa State,Big 12,45,7,7,6,3,,1659,1658,2649,Toledo,Mid-American,43,0,8,7,8,,1567,1568,,,
262430166,2006,1,regular,2006-09-01T01:00:00.000Z,,false,false,15561,3601,Aggie Memorial Stadium,166,New Mexico State,Western Athletic,30,14,9,7,0,,,,2545,Southeastern Louisiana,,15,12,3,0,0,,,,,,
262430068,2006,1,regular,2006-09-01T01:00:00.000Z,,false,false,29674,3653,Albertsons Stadium,68,Boise State,Western Athletic,45,21,14,3,7,,,,16,Sacramento State,,0,0,0,0,0,,,,,,
262430204,2006,1,regular,2006-09-01T02:00:00.000Z,,false,false,38071,3893,Reser Stadium,204,Oregon State,Pac-10,56,21,21,7,7,,,,331,Eastern Washington,,17,0,7,3,7,,,,,,
262430009,2006,1,regular,2006-09-01T02:00:00.000Z,,false,false,53540,3947,Sun Devil Stadium,9,Arizona State,Pac-10,35,0,14,0,21,,,,2464,Northern Arizona,,14,7,7,0,0,,,,,,
262430021,2006,1,regular,2006-09-01T02:30:00.000Z,,false,false,34723,3932,Qualcomm Stadium,21,San Diego State,Mountain West,27,3,0,7,17,,1494,1476,2638,UTEP,Conference USA,34,0,14,13,7,,1436,1454,,,
262440278,2006,1,regular,2006-09-02T00:00:00.000Z,,false,true,39269,3660,Bulldog Stadium,278,Fresno State,Western Athletic,28,7,7,7,7,,1691,1688,2440,Nevada,Western Athletic,19,0,6,6,7,,1416,1419,,,
262450251,2006,1,regular,2006-09-02T16:00:00.000Z,,false,false,85123,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,56,14,14,14,14,,2105,2136,249,North Texas,Sun Belt,7,0,0,7,0,,1188,1157,,,
262450130,2006,1,regular,2006-09-02T16:00:00.000Z,,false,false,109668,3558,Michigan Stadium,130,Michigan,Big Ten,27,10,3,7,7,,1733,1751,238,Vanderbilt,SEC,7,0,7,0,0,,1444,1426,,,
262450127,2006,1,regular,2006-09-02T16:00:00.000Z,,false,false,70711,3936,Spartan Stadium,127,Michigan State,Big Ten,27,7,10,0,10,,1600,1589,70,Idaho,Western Athletic,17,3,0,7,7,,1169,1180,,,
262452294,2006,1,regular,2006-09-02T16:03:00.000Z,,false,false,70585,3793,Kinnick Stadium,2294,Iowa,Big Ten,41,7,10,7,17,,,,149,Montana,,7,0,0,7,0,,,,,,
262450061,2006,1,regular,2006-09-02T16:30:00.000Z,,false,false,92746,3917,Sanford Stadium,61,Georgia,SEC,48,17,14,3,14,,1795,1853,98,Western Kentucky,,12,0,7,0,5,,1452,1394,,,
