id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
292460189,2009,1,regular,2009-09-03T23:00:00.000Z,,false,false,0,3700,Doyt Perry Stadium,189,Bowling Green,Mid-American,31,0,7,7,17,,1488,1535,2653,Troy,Sun Belt,14,7,7,0,0,,1585,1538,,,
292460152,2009,1,regular,2009-09-03T23:00:00.000Z,,false,false,0,3670,Carter-Finley Stadium,152,NC State,ACC,3,0,0,3,0,,1508,1504,2579,South Carolina,SEC,7,7,0,0,0,,1549,1553,,,
292460218,2009,1,regular,2009-09-03T23:00:00.000Z,,false,false,0,3806,Lincoln Financial Field,218,Temple,Mid-American,24,0,10,7,7,,,,222,Villanova,,27,0,0,14,13,,,,,,
292462309,2009,1,regular,2009-09-03T23:00:00.000Z,,false,false,0,3696,Dix Stadium,2309,Kent State,Mid-American,18,2,0,7,9,,1313,1363,324,Coastal Carolina,,0,0,0,0,0,,1405,1355,,,
292462050,2009,1,regular,2009-09-03T23:30:00.000Z,,false,false,0,3919,Scheumann Stadium,2050,Ball State,Mid-American,10,0,0,3,7,,1530,1459,249,North Texas,Sun Belt,20,7,3,0,10,,1035,1106,,,
292460066,2009,1,regular,2009-09-04T00:00:00.000Z,,false,false,0,3772,Jack Trice Stadium,66,Iowa State,Big 12,34,7,10,10,7,,,,2449,North Dakota State,,17,0,10,7,0,,,,,,
292460084,2009,1,regular,2009-09-04T00:00:00.000Z,,false,false,0,3830,Memorial Stadium,84,Indiana,Big Ten,19,9,10,0,0,,,,2198,Eastern Kentucky,,13,7,3,3,0,,,,,,
292460254,2009,1,regular,2009-09-04T01:00:00.000Z,,false,false,0,587,Rice-Eccles Stadium,254,Utah,Mountain West,35,14,12,7,2,,1798,1799,328,Utah State,Western Athletic,17,10,7,0,0,,1358,1357,,,
292460068,2009,1,regular,2009-09-04T02:15:00.000Z,,false,false,0,3653,Albertsons Stadium,68,Boise State,Western Athletic,19,0,13,6,0,,1813,1832,2483,Oregon,Pac-10,8,0,0,8,0,,1799,1780,,,
292472655,2009,1,regular,2009-09-05T00:00:00.000Z,,false,true,0,3493,Mercedes-Benz Superdome,2655,Tulane,Conference USA,13,0,3,7,3,,1128,1125,202,Tulsa,Conference USA,37,17,3,3,14,,1698,1701,,,
292480062,2009,1,regular,2009-09-05T05:05:00.000Z,,false,false,0,3610,Aloha Stadium,62,Hawai'i,Western Athletic,25,2,7,10,6,,,,2110,Central Arkansas,,20,7,7,0,6,,,,,,
292480277,2009,1,regular,2009-09-05T16:00:00.000Z,,false,false,0,,,277,West Virginia,Big East,33,10,13,3,7,,1699,1702,2335,Liberty,,20,3,7,3,7,,1419,1416,,,
292480183,2009,1,regular,2009-09-05T16:00:00.000Z,,false,false,0,1964,Carrier Dome,183,Syracuse,Big East,20,10,10,0,0,,1302,1303,135,Minnesota,Big Ten,23,14,0,3,3,,1401,1400,,,
292480213,2009,1,regular,2009-09-05T16:00:00.000Z,,false,false,0,3632,Beaver Stadium,213,Penn State,Big Ten,31,14,17,0,0,,1879,1886,2006,Akron,Mid-American,7,0,0,7,0,,1359,1352,,,
