id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
252442649,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,20092,3739,Glass Bowl,2649,Toledo,Mid-American,62,13,28,14,7,,,,2710,Western Illinois,,14,0,0,0,14,,,,,,
252440276,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,25102,3775,Joan C. Edwards Stadium,276,Marshall,Conference USA,36,10,13,6,7,,,,2729,William & Mary,,24,3,7,14,0,,,,,,
252440154,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,0,3630,BB&T Field,154,Wake Forest,ACC,20,3,3,7,7,,1456,1445,238,Vanderbilt,SEC,24,3,7,7,7,,1385,1396,,,
252442132,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,0,3854,Nippert Stadium,2132,Cincinnati,Big East,28,14,0,7,7,,1538,1534,2199,Eastern Michigan,Mid-American,26,10,10,0,6,,1200,1204,,,
252440248,2005,1,regular,2005-09-01T23:00:00.000Z,,false,false,0,,,248,Houston,Conference USA,24,21,0,0,3,,1361,1345,2483,Oregon,Pac-10,38,14,3,14,7,,1527,1543,,,AT RELIANT STADIUM
252442579,2005,1,regular,2005-09-01T23:30:00.000Z,,false,false,0,3994,Williams-Brice Stadium,2579,South Carolina,SEC,24,14,3,7,0,,1501,1500,2116,UCF,Conference USA,15,3,0,10,2,,1253,1254,,,
252440041,2005,1,regular,2005-09-01T23:30:00.000Z,,false,false,0,3892,Rentschler Field,41,Connecticut,Big East,38,3,28,0,7,,1593,1655,2084,Buffalo,Mid-American,0,0,0,0,0,,1227,1165,,,
252442433,2005,1,regular,2005-09-02T00:00:00.000Z,,false,false,21726,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,23,0,23,0,0,,,,2466,Northwestern State,,27,0,0,14,13,,,,,,
252440265,2005,1,regular,2005-09-02T02:00:00.000Z,,false,false,0,3820,Martin Stadium,265,Washington State,Pac-10,38,17,0,14,7,,1547,1540,70,Idaho,Western Athletic,26,6,6,7,7,,1149,1156,,,
252440009,2005,1,regular,2005-09-02T02:00:00.000Z,,false,false,0,3947,Sun Devil Stadium,9,Arizona State,Pac-10,63,14,14,14,21,,1611,1714,218,Temple,FBS Independents,16,0,2,7,7,,1337,1234,,,
252440202,2005,1,regular,2005-09-02T02:15:00.000Z,,false,false,0,,,202,Tulsa,Conference USA,10,0,3,0,7,,1326,1276,135,Minnesota,Big Ten,41,17,7,3,14,,1627,1677,,,
252452117,2005,1,regular,2005-09-02T23:30:00.000Z,,false,false,0,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,13,0,3,3,7,,1190,1191,84,Indiana,Big Ten,20,0,14,0,6,,1374,1373,,,
252450254,2005,1,regular,2005-09-03T00:00:00.000Z,,false,true,0,587,Rice-Eccles Stadium,254,Utah,Mountain West,27,0,10,17,0,,1826,1822,12,Arizona,Pac-10,24,0,3,14,7,,1365,1369,,,
252460127,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,3936,Spartan Stadium,127,Michigan State,Big Ten,49,14,21,7,7,,1623,1709,2309,Kent State,Mid-American,14,7,7,0,0,,1529,1443,,,
252462032,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,,,2032,Arkansas State,Sun Belt,17,0,0,3,14,,1165,1136,142,Missouri,Big 12,44,13,17,7,7,,1551,1580,,,
252460356,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,3832,Memorial Stadium,356,Illinois,Big Ten,33,7,0,3,17,,1397,1398,164,Rutgers,Big East,30,3,17,7,0,,1386,1385,,,
252460275,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,56,0,35,14,7,,1599,1638,189,Bowling Green,Mid-American,42,13,22,0,7,,1722,1683,,,
252460077,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,3911,Ryan Field,77,Northwestern,Big Ten,38,3,28,7,0,,1455,1502,195,Ohio,Mid-American,14,0,7,0,7,,1339,1292,,,
252460194,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,3861,Ohio Stadium,194,Ohio State,Big Ten,34,10,10,14,0,,1719,1753,193,Miami (OH),Mid-American,14,0,0,0,14,,1597,1563,,,
252460201,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,10,0,0,10,0,,1855,1811,2628,TCU,Mountain West,17,0,10,0,7,,1502,1546,,,
252462294,2005,1,regular,2005-09-03T16:00:00.000Z,,false,false,0,3793,Kinnick Stadium,2294,Iowa,Big Ten,56,28,21,0,7,,1706,1812,2050,Ball State,Mid-American,0,0,0,0,0,,1231,1125,,,
252462633,2005,1,regular,2005-09-03T16:30:00.000Z,,false,false,0,3853,Neyland Stadium,2633,Tennessee,SEC,17,10,7,0,0,,1699,1693,5,UAB,Conference USA,10,0,3,0,7,,1402,1408,,,
252460151,2005,1,regular,2005-09-03T17:00:00.000Z,,false,false,0,3699,Dowdy-Ficklen Stadium,151,East Carolina,Conference USA,24,14,3,7,0,,1211,1213,150,Duke,ACC,21,7,7,0,7,,1321,1319,,,
252462306,2005,1,regular,2005-09-03T18:00:00.000Z,,false,false,0,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,35,6,7,15,7,,1623,1624,2229,Florida International,Sun Belt,21,0,7,14,0,,1285,1284,,,
252462005,2005,1,regular,2005-09-03T19:30:00.000Z,,false,true,0,,,2005,Air Force,Mountain West,20,0,3,3,14,,1474,1473,264,Washington,Pac-10,17,3,0,7,7,,1351,1352,,,
252460252,2005,1,regular,2005-09-03T19:30:00.000Z,,false,false,0,3801,LaVell Edwards Stadium,252,BYU,Mountain West,3,0,0,3,0,,1482,1453,103,Boston College,ACC,20,7,3,0,10,,1603,1632,,,
252460038,2005,1,regular,2005-09-03T19:30:00.000Z,,false,false,0,3726,Folsom Field,38,Colorado,Big 12,31,0,10,0,21,,1532,1532,36,Colorado State,Mountain West,28,7,7,7,7,,1455,1455,,,
252460130,2005,1,regular,2005-09-03T19:30:00.000Z,,false,false,0,3558,Michigan Stadium,130,Michigan,Big Ten,33,14,13,0,6,,1729,1748,2459,Northern Illinois,Mid-American,17,3,7,0,7,,1557,1538,,,
252460213,2005,1,regular,2005-09-03T19:30:00.000Z,,false,false,0,3632,Beaver Stadium,213,Penn State,Big Ten,23,10,7,0,6,,1611,1614,58,South Florida,Big East,13,0,7,0,6,,1401,1398,,,
