id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
400548403,2014,1,regular,2014-08-27T23:00:00.000Z,,false,false,10140,3495,Georgia Dome,2247,Georgia State,Sun Belt,38,7,14,0,17,0.7040558473410293,,,2000,Abilene Christian,,37,3,13,14,7,0.29594415265897067,,,9.07877961509999,,
400548402,2014,1,regular,2014-08-28T22:00:00.000Z,,false,true,82847,3994,Williams-Brice Stadium,2579,South Carolina,SEC,28,7,7,14,0,0.005651845193381177,1863,1787,245,Texas A&M,SEC,52,10,21,14,7,0.9943481548066189,1765,1841,3.5531582091,,
400547829,2014,1,regular,2014-08-28T23:00:00.000Z,,false,false,21003,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,17,0,0,10,7,0.9897190482041446,1303,1317,154,Wake Forest,ACC,10,7,3,0,0,0.01028095179585542,1377,1363,6.45099184669999,,
400548091,2014,1,regular,2014-08-28T23:00:00.000Z,,false,false,12398,3764,Brigham Field at Huskie Stadium,2459,Northern Illinois,Mid-American,55,17,17,21,0,0.9999794290349522,,,2506,Presbyterian College,,3,0,0,3,0,0.00002057096504781697,,,0.105036553899999,,
400548092,2014,1,regular,2014-08-28T23:00:00.000Z,,false,false,15793,3786,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,20,0,7,13,0,0.9903185288801162,,,236,Chattanooga,,16,3,13,0,0,0.009681471119883822,,,5.7886499469,,
400547960,2014,1,regular,2014-08-28T23:00:00.000Z,,false,false,0,3953,TCF Bank Stadium,135,Minnesota,Big Ten,42,7,7,7,21,0.9087074786456913,,,2197,Eastern Illinois,,20,0,0,0,20,0.09129252135430865,,,3.08472996929999,,
400548090,2014,1,regular,2014-08-28T23:00:00.000Z,,false,false,9104,3768,Summa Field at InfoCision Stadium,2006,Akron,Mid-American,41,21,0,13,7,0.9999808191061406,,,47,Howard,,0,0,0,0,0,0.00001918089385943844,,,0.3205177698,,
400548256,2014,1,regular,2014-08-28T23:30:00.000Z,,false,false,45925,587,Rice-Eccles Stadium,254,Utah,Pac-12,56,14,21,14,7,0.9998468251641687,,,304,Idaho State,,14,7,0,7,0,0.00015317483583132674,,,0.0989172586999997,,
400548404,2014,1,regular,2014-08-29T00:00:00.000Z,,false,false,13772,3601,Aggie Memorial Stadium,166,New Mexico State,Sun Belt,28,7,7,7,7,0.9841450076778355,,,13,Cal Poly,,10,7,3,0,0,0.015854992322164474,,,4.4663683112,,
400548169,2014,1,regular,2014-08-29T00:00:00.000Z,,true,false,32823,3495,Georgia Dome,145,Ole Miss,SEC,35,7,0,0,28,,1625,1690,68,Boise State,Mountain West,13,0,3,3,7,,1653,1588,3.29355607419999,,
400547647,2014,1,regular,2014-08-29T00:00:00.000Z,,false,true,19032,3674,Skelly Field at H. A. Chapman Stadium,202,Tulsa,American Athletic,38,0,14,3,11,0.632972613107618,1345,1356,2655,Tulane,American Athletic,31,7,14,0,7,0.367027386892382,1374,1363,9.36000716619999,,
400547993,2014,1,regular,2014-08-29T02:00:00.000Z,,false,false,30927,3673,CenturyLink Field,265,Washington State,Pac-12,38,3,14,14,7,0.9125893830975795,1450,1444,164,Rutgers,Big Ten,41,7,14,3,17,0.08741061690242047,1429,1435,6.70382213589999,,
400553383,2014,1,regular,2014-08-29T02:00:00.000Z,,false,false,10371,3935,Spartan Stadium,23,San José State,Mountain West,42,14,7,14,7,0.9999555698059409,,,155,North Dakota,,10,0,3,0,7,0.000044430194059086325,,,0.3501613633,,
400548255,2014,1,regular,2014-08-29T02:30:00.000Z,,false,false,52133,3947,Sun Devil Stadium,9,Arizona State,Pac-12,45,17,14,14,0,0.9999532688956798,,,2692,Weber State,,14,0,0,7,7,0.00004673110432018568,,,0.0848473633000005,,
400547640,2014,1,regular,2014-08-29T02:50:00.000Z,,false,false,31731,3973,Vanderbilt Stadium,238,Vanderbilt,SEC,7,0,7,0,0,0.1175899079548855,1598,1494,218,Temple,American Athletic,37,7,14,13,3,0.8824100920451146,1455,1559,3.7421833866,,
400547641,2014,1,regular,2014-08-29T23:00:00.000Z,,false,false,35150,3892,Rentschler Field,41,Connecticut,American Athletic,10,0,7,0,3,0.003993853309218082,1427,1387,252,BYU,FBS Independents,35,14,14,0,7,0.9960061466907819,1655,1695,2.7875415673,,
400548003,2014,1,regular,2014-08-29T23:30:00.000Z,,false,false,17215,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,59,14,17,14,14,0.9984383060216363,1469,1572,189,Bowling Green,Mid-American,31,0,10,14,7,0.0015616939783636985,1694,1591,3.30163333089999,,
400547952,2014,1,regular,2014-08-29T23:30:00.000Z,,false,false,75127,3936,Spartan Stadium,127,Michigan State,Big Ten,45,21,17,7,0,0.9999600408058137,,,55,Jacksonville State,,7,0,0,7,0,0.000039959194186312,,,0.2224963838,,
400547815,2014,1,regular,2014-08-29T23:30:00.000Z,,false,false,41189,1964,Carrier Dome,183,Syracuse,ACC,27,7,3,7,0,0.22037707803785347,,,222,Villanova,,26,0,7,7,3,0.7796229219621466,,,7.37332673409999,,
